name||price||brand||size_value||size_unit||category||subcategory||url||timestamp
Unibic Fruit & Nut Cookies 67.5 g	₹25.00	UNIBIC	67.5	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Parle Monaco Salted Biscuits 185.6 g	₹33.00	PARLE	185.6	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Parle Krackjack The Original Sweet And Salty Cracker 700 g	₹124.00	KRACKJACK	700	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Sunfeast Dark Fantasy Bourbon Biscuit 465 g (93 g x 5 pcs)	₹71.00	SUNFEAST	465	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Patanjali Doodh Biscuits 800 g	₹114.00	PATANJALI	800	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Parle Platina Nutricrunch Digestive Cookies 1 kg	₹142.00	PARLE	1	kg	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Parle Happy Happy Choco-Chip Cookies 396 g	₹66.00	PARLE	396	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Britannia Marie Gold Biscuits 250 g	₹38.00	MARIEGOLD	250	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Britannia NutriChoice Hi-Fibre Digestive Biscuits 91.7 g	₹21.00	BRITANNIA	91.7	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Sunfeast Mom's Magic Cashew & Almond Biscuits 560 g	₹88.00	SUNFEAST	560	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Britannia NutriChoice Sugar Free Cracker 295 g	₹46.00	BRITANNIA	295	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Parle Hide & Seek Chocolate Chip Cookies 400 g	₹94.00	PARLE	400	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Parle Hide & Seek 4 Flavour Choco Chip Creme Biscuit 400 g	₹80.00	PARLE	4	Flavour	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Parle Top Delicious Buttery Crackers 200 g	₹33.00	PARLE	200	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
McVitie's Digestive Biscuits 959.1 g	₹130.00	MCVITIE'S	959.1	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Nice Time Britannia Biscuit 136.5 g	₹21.00	NICE TIME	136.5	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Dukes Waffy Choco Wafer Rolls 250 g	₹80.00	DUKES	250	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Britannia 50-50 Maska Chaska Biscuits 300 g	₹84.00	BRITANNIA	300	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Cadbury Oreo Original Vanilla Cream Biscuit 459.25 g	₹130.00	CADBURY	459.25	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Cadbury Chocobakes Chocofilled Cookies 276 g	₹152.00	CADBURY	276	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Britannia Milk Bikis Biscuits 170.5 g	₹29.00	BRITANNIA	170.5	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Sunfeast Dark Fantasy Vanilla Creme a Dark Crunchy Biscuit with Smooth Vanilla Creme 237 g	₹44.00	SUNFEAST	237	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Unibic Choco Kiss Center Filled Cookies 75 g (6 Units x 12.5 g)	₹24.00	UNIBIC	75	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Parle Monaco Classic Regular Salted Biscuits 371.2 g	₹57.00	PARLE	371.2	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Britannia 50-50 Sweet & Salty Biscuits 188 g	₹33.00	BRITANNIA	188	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
McVitie's Hobnobs Oats Cookies 75 g	₹13.00	MCVITIE'S	75	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Britannia Vita Marie Gold Biscuits 900 g	₹135.00	MARIEGOLD	900	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Dukes Waffy Chocolate Wafers 55 g	₹22.00	DUKES	55	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Sunfeast Marie Light Active, Marie Biscuits 956 g	₹115.00	SUNFEAST	956	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Dukes Bourbon Choco Creme Biscuits 125 g	₹16.00	DUKES	125	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Mayora Malkist Chocolate Cracker Biscuits 144 g	₹50.00	MALKIST	144	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Britannia Good Day Chocochip Cookies 400 g	₹88.00	BRITANNIA	400	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Unibic Choco Chip Cookies 450 g (5 Units x 90 g)	₹89.00	UNIBIC	450	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
