name,price,brand,size_value,size_unit,category,subcategory,url
Britannia Pure Magic Choco Stars 68 Gm,₹ 29.10,Britannia,68,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Rite Bite Max Protein Choco Fudge 75 Gm,₹ 119.00,Rite Bite,75,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Charlie Rajgira Laddu 60 Gm,₹ 24.00,Charlie,60,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Ganesh Bhel Family Pack 250 Gm,₹ 65.00,,250,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Cadbury Fuse Home Treat 108 Gm,₹ 89.00,Cadbury,108,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Cadbury Silk Home Pack 153 Gm,₹ 140.00,Cadbury,153,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Hersheys Cocoa Powder 225 Gm,₹ 360.00,Hersheys,225,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Hersheys Chocolate Flavored Syrup 200 Gm,₹ 106.70,Hersheys,200,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Priya Mango Avakaya Pickles Bottle 300 Gm,₹ 110.00,Priya,300,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Priya Mango Thakku Pickles Bottle 300 Gm,₹ 99.00,Priya,300,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Priya Cut Mango Pickles Bottle 300 Gm,₹ 110.00,Priya,300,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Priya Lime Pickle Bottle 300 Gm,₹ 110.00,Priya,300,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Priya Tomato Pickle Bottle 300 Gm,₹ 110.00,Priya,300,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Mother'S Recipe Mango Pickle Pouch 200 Gm,₹ 58.20,Mother'S Recipe,200,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Pravin Mixed Pickle Pouch 200 Gm,₹ 49.50,Pravin,200,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Priya Gongura Pickle Bottle 300 Gm,₹ 110.00,Priya,300,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Bedekar Mango Pickle Jar 200 Gm,₹ 56.88,Bedekar,200,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Bedekar Bedekar Mixed Pickle Pouch 200 Gm,₹ 77.60,Bedekar,200,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Pravin Red Chilli Thecha Pouch 100 Gm,₹ 27.00,Pravin,100,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Yogabar Apricot Fig Breakfast Bar 45 Gm,₹ 30.00,Yogabar,45,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Yogabar Blueberry Pie Breakfast Bar 45 Gm,₹ 30.00,Yogabar,45,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Cadbury Dairy Milk Crispello 35 Gm,₹ 39.00,Cadbury,35,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Jali Fryums 150 Gm,₹ 15.00,Fabsta,150,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Penne Fryums 150 Gm,₹ 15.00,Fabsta,150,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Banana Chips Salted 170 Gm,₹ 55.00,Fabsta,170,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Salty Potato Waffer 150 Gm,₹ 44.00,Fabsta,150,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Wheel Fryums 150 Gm,₹ 15.00,Fabsta,150,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Amul Milk Chocolate 150 Gm,₹ 180.00,Amul,150,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Amul Fruit & Nut Chocolate 150 Gm,₹ 180.00,Amul,150,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Hersheys Kisses Cookies N Cream 100 Gm,₹ 164.90,Hersheys,100,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Gore Garlic Bhadang 500 Gm,₹ 132.12,,500,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Testobite Yellow Chana 500 Gm,₹ 85.00,Testobite,500,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Testobite Salty Peanuts 500 Gm,₹ 120.00,Testobite,500,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Testobite Mahabaleshwar Chana B1G1 300 Gm,₹ 73.72,Testobite,300,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Testobite Bharuch Peanuts B1G1 300 Gm,₹ 76.00,Testobite,300,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Testobite Vatana B1G1 300 Gm,₹ 59.60,Testobite,300,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Veeba Eggless Mayonnaise 275 Gm,₹ 89.00,Veeba,275,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Veeba Peanut Butter Crunchy 1 Kg,₹ 195.00,Veeba,1,Kg,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Veeba Peanut Butter Creamy 1 Kg,₹ 219.00,Veeba,1,Kg,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Tomato Ketchup 450 Gm,₹ 39.00,Fabsta,450,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Veg Garlic Mayonnaise 450 Gm,₹ 99.00,Fabsta,450,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Hot And Sweet Sauce 200 Gm,₹ 44.00,Fabsta,200,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Tomato Ketchup 200 Gm,₹ 23.00,Fabsta,200,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Veg Garlic Mayonnaise 200 Gm,₹ 54.00,Fabsta,200,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Veg Mayonnaise 200 Gm,₹ 41.00,Fabsta,200,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Vermicelli Roasted 800 Gm,₹ 63.00,Fabsta,800,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Vermicelli Plain 800 Gm,₹ 51.00,Fabsta,800,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Fusilli Pasta 500 Gm,₹ 55.00,Fabsta,500,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Fusilli Pasta 250 Gm,₹ 35.00,Fabsta,250,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Penne Pasta 500 Gm,₹ 55.00,Fabsta,500,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Penne Pasta 250 Gm,₹ 30.00,Fabsta,250,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Macaroni Pasta 800 Gm,₹ 59.00,Fabsta,800,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Macaroni Pasta 350 Gm,₹ 32.00,Fabsta,350,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Macaroni Pasta 150 Gm,₹ 18.00,Fabsta,150,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Saffola Masala & Coriander Oats Pouch 40 Gm,₹ 16.00,Saffola,40,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Anil Vermicelli Pouch 180 Gm,,Anil,180,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Anil Vermicelli Pouch 450 Gm,,Anil,450,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Anil Ragi Vermicelli Pouch 450 Gm,,Anil,450,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Anil Rice Vermicelli Pouch 500 Gm,,Anil,500,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Bms Till O Lads 80 Gm,,Bms,80,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Rite Bite Peanut Butter Bar 35 Gm,₹ 22.50,Rite Bite,35,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Chupachups Toffee 96 Gm,₹ 48.50,Chupachups,96,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Bingo Original Style Salt Sprinkled 100 Gm,₹ 33.00,Bingo,100,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Bingo Original Style Chilli Sprinkled 100 Gm,₹ 33.00,Bingo,100,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Bingo Mad Angles Achaari Masti 130 Gm,₹ 33.00,Bingo,130,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Pringles Desi Masala Tadka 102 Gm,₹ 121.25,Pringles,102,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Potato Papad 70 Gm,₹ 19.00,Fabsta,70,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Sabudana Papad 70 Gm,₹ 19.00,Fabsta,70,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Snickers Almond Bar 45 Gm,₹ 77.60,Snickers,45,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Cadbury Dairy Milk Silk Whole Hazelnut 143 Gm,₹ 220.00,Cadbury,143,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Chheda'S Mirch Masala Banana Chips 180 Gm,₹ 60.00,Chheda'S,180,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Chheda'S Farali Potato Chivda 170 Gm,₹ 45.00,Chheda'S,170,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Jalapeno Nachos 130 Gm,₹ 44.00,Fabsta,130,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Tomato Nachos 130 Gm,₹ 44.00,Fabsta,130,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Parle Melody Toffee Pouch 391 Gm,₹ 90.00,Parle,391,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Chilli Vinegar 170 Ml,₹ 35.00,Fabsta,,,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Coriander Mint Sauce 200 Gm,₹ 69.60,Fabsta,200,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Green Chilli Sauce 200 Gm,₹ 44.00,Fabsta,200,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Pizza Pasta Sauce 200 Gm,₹ 48.00,Fabsta,200,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Plain Vinegar 750 Gm,₹ 42.00,Fabsta,750,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Red Chilli Sauce 200 Gm,₹ 36.00,Fabsta,200,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Quaker Oats Plus 600 Gm,₹ 153.60,Quaker,600,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Veeba Cheese & Chilli 275 Gm,₹ 85.00,Veeba,275,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Veeba Cheese N Jalapeno Dip 300 Gm,₹ 144.99,Veeba,300,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Mtr Instant Masala Idli Mix 500 Gm,₹ 120.00,Mtr,500,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Mtr Instant Rava Idli Mix 500 Gm,₹ 112.00,Mtr,500,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Mtr Instant Mix Dosa 500 Gm,₹ 113.00,Mtr,500,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Mtr Instant Khaman Dhokla Mix 180 Gm,₹ 100.00,Mtr,180,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Tata Gold Leaf Tea 1 Kg,₹ 409.00,Tata,1,Kg,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Fabsta Kadak Leaf Tea 500 Gm,₹ 109.00,Fabsta,500,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Tata Premium Leaf Tea Pouch 500 Gm,₹ 255.00,Tata,500,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Society Leaf Tea Pouch 500 Gm,₹ 285.00,Society,500,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Horlicks Plain Malt Drink Pouch 500 Gm,,Horlicks,500,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Fabsta Instant Coffee Rich & Strong 50 Gm,₹ 79.00,Fabsta,50,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Tang Mango Pouch 500 Gm,₹ 164.90,Tang,500,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Fabsta Glucose Powder Lime 450 Gm,₹ 149.00,Fabsta,450,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Nescafe Classic Coffee Jar 90 Gm,₹ 448.87,Nescafe,90,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Bru Instant Coffee 200 Gm,₹ 494.00,Bru,200,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Bisleri Packed Drinking Water 5 Ltr (Pet Jar),₹ 55.00,Bisleri,5,L,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Fabsta Package Drinking Water 1 Ltr,₹ 10.00,Fabsta,1,L,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Bisleri Fizzy Soda Pet Bottle 750 Ml,₹ 10.00,Bisleri,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Thums Up Carbonated Soft Drink Pet Bottle 2.25 Ltr,₹ 80.00,Thums Up,2.25,L,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Sprite Clear Carbonated Soft Drink Pet Bottle 2.25 Ltr,₹ 75.00,Sprite,2.25,L,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Coca Cola Carbonated Soft Drink Pet Bottle 8X250 Ml,₹ 135.00,Coca Cola,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Horlicks Drink Refill 500G,₹ 294.00,Horlicks,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Real Masala Mixed Fruit Juice Tetrapak 1 Ltr,₹ 75.00,Real,1,L,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Real Mixed Fruit Juice Tetrapak 1 Ltr,₹ 100.00,Real,1,L,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Fabsta Green Tea Bags 100 Pcs,₹ 225.00,Fabsta,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Society Leaf Tea Pouch 1 Kg,₹ 478.06,Society,1,Kg,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Tetley Green Ginger Lemon Mint 25 Pcs,₹ 174.60,Tetley,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Red Label Natural Care Tea 500 Gm,₹ 265.00,Red Label,500,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Fabsta Special Leaf Tea 1 Kg,₹ 369.00,Fabsta,1,Kg,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Fabsta Special Leaf Tea 500 Gm,₹ 190.00,Fabsta,500,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Fabsta Kadak Leaf Tea 1 Kg,₹ 176.00,Fabsta,1,Kg,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Wagh Bakri Leaf Tea Pouch 1 Kg,₹ 520.00,Wagh Bakri,1,Kg,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Wagh Bakri Spiced Tea (Masala) 500 Gm,₹ 282.00,Wagh Bakri,500,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Nestle Nescafe Gold Jar 50 Gm,₹ 395.00,Nestle,50,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Bru Green Label Filter Coffee 500 Gm,₹ 400.00,Bru,500,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Paper Boat Anar Pouch 250 Ml,₹ 45.00,Paper Boat,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Paper Boat Alphonso Aam 150 Ml,₹ 24.00,Paper Boat,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Nescafe Classic Coffee Pouch 500 Gm,"₹ 2,041.85",Nescafe,500,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Sunrise Premium Coffee 7 Gm,₹ 10.00,Sunrise,7,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Nescafe Classic Coffee Jar 24 Gm,₹ 126.10,Nescafe,24,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Cravova Mojito Classic Pet Bottle 300 Ml,₹ 30.00,Cravova,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Cravova Green Apple Mojito Pet Bottle 300 Ml,₹ 58.20,Cravova,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Mogu Lychee Pet Bottle 320 Ml,₹ 59.60,,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Mogu Strawberry Pet Bottle 320 Ml,₹ 60.00,,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Coca Cola Zero Carbonated Soft Drink 750 Ml,₹ 22.50,Coca Cola,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Mtr Badam Drink Mix 8 Gm,₹ 5.00,Mtr,8,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Paper Boat Chilli Guava 200 Ml,₹ 38.80,Paper Boat,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Real Orange Juice Tetrapak 180 Ml,₹ 17.00,Real,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Predator Energy Drink 300 Ml,₹ 48.00,Predator,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Tata Grand Filter Coffee 500 Gm,,Tata,500,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Id Instant Strong Filter Coffee 150 Ml,₹ 110.00,Id,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Davidoff Fine Aroma Coffee 100 Gm,₹ 749.00,Davidoff,100,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Fabsta Chocolate Syrup 650 Gm,₹ 110.00,Fabsta,650,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Complan Royal Chocolate Pouch 700 Gm,₹ 340.00,Complan,700,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Frooti Mango Juice Bottle 2 Ltr,₹ 126.10,Frooti,2,L,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Society Leaf Tea Pouch 1.5 Kg,₹ 860.04,Society,1.5,Kg,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Society Chahat Leaf Tea 1 Kg,₹ 189.00,Society,1,Kg,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Coca Cola Zero Carbonated Soft Drink Pet Bottle 8X250 Ml,₹ 155.20,Coca Cola,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Thums Up Carbonated Soft Drink Pet Bottle 8X250 Ml,₹ 128.00,Thums Up,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Mirinda Orange Carbonated Soft Drink Pet Bottle 750 Ml,₹ 33.00,Mirinda,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
7 Up Clear Soft Drink Petbottle 750 Ml,₹ 35.00,7 Up,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Fabsta Guava Fruit Drink 1.2 Ltr,₹ 75.00,Fabsta,1.2,L,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Fabsta Litchi Fruit Drink 1.2 Ltr,₹ 55.00,Fabsta,1.2,L,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Fabsta Mango Fruit Drink 1.2 Ltr,₹ 50.00,Fabsta,1.2,L,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Fabsta Orange Squash 1000 Ml,₹ 144.00,Fabsta,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Fabsta Strawberry Crush 1 Ltr,₹ 144.00,Fabsta,1,L,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Fabsta Glucose Powder Mango 450 Gm,₹ 189.00,Fabsta,450,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Fabsta Glucose Powder Orange 450 Gm,₹ 189.00,Fabsta,450,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Fabsta Glucose Powder Regular 450 Gm,₹ 91.00,Fabsta,450,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Fanta Orange Carbonated Soft Drink Pet Bottle 8X250 Ml,₹ 140.00,Fanta,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Red Bull Watermelon Energy Drink Can 250 Ml,₹ 115.00,Red Bull,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Hell Energy Classic Energy Drink 250 Ml,₹ 49.00,Hell Energy,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Glucon D Nimbu Pani 1Kg,₹ 380.00,Glucon D,1,Kg,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Fabsta Instant Coffee Rich & Strong 200 Gm,₹ 290.00,Fabsta,200,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Sunrise Coffee Jar 95 Gm,,Sunrise,95,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Sunrise Coffee Jar 50 Gm,,Sunrise,50,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Cothas Extra Strong Coffee Pouch 500 Gm,,Cothas,500,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Cothas Premium Special Coffee 500 Gm,,Cothas,500,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Cothas Special Blend Coffee Pouch 500 Gm,,Cothas,500,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Bru Green Label Filter Coffee 200 Gm,,Bru,200,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Bru Green Label Coffee 100 G,,Bru,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Cothas Extra Strong Coffee Pouch 200 Gm,,Cothas,200,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Cothas Premium Special Coffee 200 Gm,,Cothas,200,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Cothas Special Blend Coffee Pouch 200 Gm,,Cothas,200,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Natureday Sparkling Kokum 600 Ml,₹ 45.00,Natureday,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Heineken Zero Nab Zero Dot 330Ml,₹ 120.00,Heineken,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Fabsta Package Drinking Water 500 Ml,₹ 10.00,Fabsta,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Maaza Tetra Pack Multi Pack 10X135 Ml,₹ 85.00,Maaza,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Fanta Orange Carbonated Soft Drink Pet Bottle 2.25 Ltr,₹ 80.00,Fanta,2.25,L,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Boost Brown Supplement Drinks Container 1 Kg,₹ 599.00,Boost,1,Kg,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Pediasure 7 Plus Chocolate 400 Gm,₹ 510.00,Pediasure,400,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Navchet Tea Pouch 1 Kg,₹ 219.00,Navchet,1,Kg,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Slice Mango Juice Pet Bottle 1.75 Ltr,₹ 65.00,Slice,1.75,L,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Real Pink Guava Juice Tetrapak 1 Ltr,₹ 75.00,Real,1,L,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Minute Maid Gritty Guava Pet 1 Ltr,₹ 80.00,Minute Maid,1,L,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Girnar Premix Kashmiri Khawa 50 Gm,₹ 170.00,Girnar,50,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Girnar Instant Premix Haldi Doodh 90 Gm,₹ 100.00,Girnar,90,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Fabsta Dairy Whitener Pouch 1 Kg,₹ 476.00,Fabsta,1,Kg,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Fabsta Dairy Whitener Pouch 400 Gm,₹ 196.00,Fabsta,400,Gm,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Monster Energy Drink 350 Ml,₹ 105.00,Monster,,,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
Jeeru Jeera Masala 2Ltr,₹ 70.00,Jeeru,2,L,beverages,,https://www.starquik.com/collections/beverages,2025-09-20 11:21:27
