name,price,brand,size_value,size_unit,category,subcategory,url
Amul Masti Dahi Cup 400 Gm,₹ 44.65,Amul,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Mother Dairy Dahi Cup 400 Gm,₹ 67.90,Mother Dairy,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Gowardhan Curd Cup 400 Gm,₹ 71.25,Gowardhan,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Amul Masti Dahi 1 Kg,₹ 76.00,Amul,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Gowardhan Curd Tub 1 Kg,₹ 118.75,Gowardhan,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Mother Dairy Dahi Pouch 1 Kg,₹ 72.00,Mother Dairy,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Mother Dairy Cup Curd 400 Gm,₹ 55.00,Mother Dairy,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Epigamia Greek Natural Yogurt 400 Gm,₹ 220.00,Epigamia,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Milky Mist Curd Pouch 400 Gm,₹ 36.00,Milky Mist,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Amul Stirred Blueberry Yoghurt 100 Gm,₹ 22.00,Amul,100,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Amul Stirred Strawberry Yoghurt 100 Gm,₹ 22.00,Amul,100,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Ao Curd Pouch 200 Gm,,Ao,200,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Ao Curd Pouch 500 Gm,,Ao,500,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Ao Greek Yoghurt Plain 90 Gm,,Ao,90,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Ao Greek Yoghurt Mango 90 Gm,,Ao,90,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Epigamia Every Day Yogurt Mango 75 Gm,,Epigamia,75,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Epigamia Every Day Yogurt Strawberry 75 Gm,,Epigamia,75,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Epigamia Every Day Yogurt Lychee 75 Gm,,Epigamia,75,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Amul Masti Dahi Tub 1 Kg,,Amul,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Milky Mist Probiotic Curd Cup 400 Gm,₹ 67.90,Milky Mist,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Amul Mango Yoghurt 100 Gm,₹ 22.00,Amul,100,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Milky Mist Curd Pouch 200 Gm,,Milky Mist,200,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Heritage Total Curd Cup 180 Ml,,Heritage,,,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Heritage Tm Curd Tub 1Kg,,Heritage,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Jersey Toned Milk Curd 1 Kg,,Jersey,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Id Curd Pouch 400 Gm,₹ 42.00,Id,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Epigamia Misti Doi 80 Gm,₹ 35.00,Epigamia,80,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Heritage Curd Cup 400 Gm,₹ 85.00,Heritage,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Nandini Fresh Curd 500 Ml,,Nandini,,,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Milky Mist Mango Fruit Yoghurt 100 Ml,₹ 29.10,Milky Mist,,,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Milky Mist Curd Cup 1 Kg,₹ 138.00,Milky Mist,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Heritage Premium Curd Pouch 500 Gm,,Heritage,500,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Milky Mist Curd Cup 200 Gm,₹ 30.00,Milky Mist,200,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Milky Mist Curd Cup 400 Gm,₹ 63.05,Milky Mist,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Milky Mist Strawberry Fruit Yoghurt 100 Ml,₹ 29.10,Milky Mist,,,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Milky Mist Blueberry Fruit Yoghurt 100 Ml,₹ 29.10,Milky Mist,,,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Mother Dairy Mishti Doi Cup 85 Gm,₹ 19.40,Mother Dairy,85,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Mother Dairy Mishti Doi Cup 400 Gm,₹ 72.75,Mother Dairy,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Epigamia Natural 85 Gm,₹ 60.00,Epigamia,85,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Epigamia Alphonso Mango 85 Gm,₹ 60.00,Epigamia,85,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Epigamia Strawberry 85 Gm,₹ 60.00,Epigamia,85,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Epigamia Blueberry 85 Gm,₹ 60.00,Epigamia,85,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Amul Masti Dahi Pouch 390 Gm,₹ 32.30,Amul,390,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Gowardhan Star Dahi Pouch 1 Kg,₹ 67.00,Gowardhan,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Amul Dahi Pouch 1 Kg,,Amul,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Amul Masti Dahi Cup 400 Gm,₹ 44.65,Amul,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Mother Dairy Dahi Cup 400 Gm,₹ 67.90,Mother Dairy,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Gowardhan Curd Cup 400 Gm,₹ 71.25,Gowardhan,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Amul Masti Dahi 1 Kg,₹ 76.00,Amul,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Gowardhan Curd Tub 1 Kg,₹ 118.75,Gowardhan,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Mother Dairy Dahi Pouch 1 Kg,₹ 72.00,Mother Dairy,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Mother Dairy Cup Curd 400 Gm,₹ 55.00,Mother Dairy,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Epigamia Greek Natural Yogurt 400 Gm,₹ 220.00,Epigamia,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Sitashree Laxminarayan Malai Modak 200 Gm,₹ 150.00,Sitashree,200,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Amul Dark Chocolate 55% 150 Gm,₹ 180.00,Amul,150,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Rajlaxmi Garlic Mixture 750 Gm,₹ 135.00,Rajlaxmi,750,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Instant Masala Noodles 70 Gm,₹ 10.00,Fabsta,70,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Fruit N Nut Muesli Box 500 Gm,₹ 219.00,Fabsta,500,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Peppy Cheese Balls 75 Gm,₹ 30.00,Peppy,75,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Sitashree Laxminarayan Kesar Modak 200 Gm,₹ 150.00,Sitashree,200,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Hakka Noodles 600 Gm,₹ 69.00,Fabsta,600,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Wai Wai 123 Chicken Cup Noodles 75 Gm,₹ 27.50,Wai Wai,75,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Budhani Potato Mixture Dry Fruit 250 Gm,₹ 140.00,Budhani,250,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Vashishti Wild Berry Honey 300 Gm,,,300,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Chheda'S Bhel Mix 500 Gm,₹ 75.00,Chheda'S,500,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Schezwan Chutney 250 Gm,₹ 51.00,Fabsta,250,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Mtr Instant Rava Dosa Mix 500 Gm,₹ 155.20,Mtr,500,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Ching'S Schezwan Chutney Sauce Bottle 250 Gm,₹ 69.00,Ching'S,250,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Dabur Honey Squeeze Pack 400 Gm,₹ 243.00,Dabur,400,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Hazelnut Choco Spread 275 Gm,₹ 199.00,Fabsta,275,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Weikfield Cocoa Powder Tin 50 Gm,₹ 92.15,Weikfield,50,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Hersheys Chocolate Flavored Syrup Bottle 623 Gm,₹ 196.00,Hersheys,623,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Veg Mayonnaise 450 Gm,₹ 49.00,Fabsta,450,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Hot And Sweet Sauce 450 Gm,₹ 89.00,Fabsta,450,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Shree Siddhivinayak Chilli Pickle Jar 200 Gm,₹ 67.90,Shree Siddhivinayak,200,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Hazelnut Choco Spread 700 Gm,₹ 449.00,Fabsta,700,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Tomato Ketchup Pouch 900 Gm,₹ 63.00,Fabsta,900,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Mtr Gulab Jamun Mix 2X160 Gm,₹ 145.00,Mtr,160,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Orbit Spearmint 19.8 Gm,₹ 48.50,Orbit,19.8,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Vermicelli Roasted 350 Gm,₹ 30.00,Fabsta,350,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Vermicelli Plain 350 Gm,₹ 23.00,Fabsta,350,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Lal Kaju Katli 200 Gm,₹ 170.00,Lal,200,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Lal Milk Cake 200 Gm,₹ 91.70,Lal,200,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
